model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,km/L,km,km/LNorm,kmNorm,gastos-en-km/L,Transmision Automatica,Transmision Manual,Transmision Semi-Automatica
 Fiesta,2017,12000,Automatic,15944,Petrol,113.41793211255025,57.7,1.0,24,25659.31696,0.2859266600594648,0.08975253878543604,Bajo,1,0,0
 Focus,2018,14000,Manual,9083,Petrol,150.0,57.7,1.0,24,14617.63522,0.2859266600594648,0.05113035058881808,Bajo,0,1,0
 Focus,2017,13000,Manual,12456,Petrol,150.0,57.7,1.0,24,20045.93904,0.2859266600594648,0.07011776361712188,Bajo,0,1,0
 Fiesta,2019,17500,Manual,10460,Petrol,145.0,40.3,1.5,17,16833.6964,0.19970267591674926,0.058881808560942106,Bajo,0,1,0
 Fiesta,2019,16500,Automatic,1482,Petrol,145.0,48.7,1.0,20,2385.0418799999998,0.24132804757185333,0.00834252775213348,Bajo,1,0,0
 Fiesta,2015,10500,Manual,35432,Petrol,113.41793211255025,47.9,1.6,20,57022.13488,0.2373637264618434,0.19945508995519126,Bajo,0,1,0
 Puma,2019,22500,Manual,2029,Petrol,145.0,50.4,1.0,21,3265.35086,0.24975222993062438,0.011421719844182747,Bajo,0,1,0
 Fiesta,2017,9000,Manual,13054,Petrol,113.41793211255025,54.3,1.2,23,21008.32436,0.2690782953419227,0.07348404674517574,Bajo,0,1,0
 Kuga,2019,25500,Automatic,6894,Diesel,145.0,42.2,2.0,17,11094.78996,0.2091179385530228,0.038807952984620926,Bajo,1,0,0
 Focus,2018,10000,Manual,48141,Petrol,113.41793211255025,61.4,1.0,26,77475.23694,0.3042616451932606,0.27099705028033594,Bajo,0,1,0
 Fiesta,2018,11561,Manual,18803,Petrol,145.0,56.5,1.0,24,30260.42002,0.27998017839444994,0.10584652450969355,Bajo,0,1,0
 EcoSport,2018,13500,Manual,12065,Petrol,145.0,54.3,1.0,23,19416.6871,0.2690782953419227,0.06791673234108667,Bajo,0,1,0
 Fiesta,2017,11000,Manual,20978,Petrol,113.41793211255025,65.7,1.0,27,33760.73452,0.32556987115956393,0.11809011280988943,Bajo,0,1,0
 Kuga,2018,17999,Semi-Auto,9002,Diesel,145.0,54.3,2.0,23,14487.27868,0.2690782953419227,0.05067438247281079,Bajo,0,0,1
 Kuga,2018,18999,Semi-Auto,8970,Diesel,145.0,58.9,1.5,25,14435.7798,0.2918731417244797,0.05049424692080791,Bajo,0,0,1
 Kuga,2018,14399,Manual,12810,Diesel,145.0,64.2,1.5,27,20615.6454,0.31813676907829536,0.07211051316115377,Bajo,0,1,0
 Kuga,2019,17999,Manual,10428,Diesel,113.41793211255025,38.2,2.0,16,16782.19752,0.18929633300297327,0.05870167300893923,Bajo,0,1,0
 Kuga,2018,16899,Manual,14680,Diesel,145.0,54.3,2.0,23,23625.1112,0.2690782953419227,0.08263718448132219,Bajo,0,1,0
 Fiesta,2017,10999,Manual,12427,Petrol,20.0,62.8,1.0,26,19999.26818,0.311199207135778,0.06995451577311927,Bajo,0,1,0
 Fiesta,2019,12500,Manual,25521,Petrol,145.0,55.4,1.0,23,41071.96614,0.2745292368681863,0.1436637319582986,Bajo,0,1,0
 Fiesta,2018,9499,Manual,20400,Petrol,113.41793211255025,55.4,1.1,23,32830.536,0.2745292368681863,0.11483641440183738,Bajo,0,1,0
 Fiesta,2017,10500,Manual,24926,Petrol,145.0,65.7,1.0,27,40114.40884,0.32556987115956393,0.14031433653824502,Bajo,0,1,0
 Fiesta,2017,8995,Manual,26163,Petrol,145.0,65.7,1.0,27,42105.16242,0.32556987115956393,0.14727770147035643,Bajo,0,1,0
 Kuga,2014,8995,Manual,59000,Diesel,160.0,47.9,2.0,20,94951.06,0.2373637264618434,0.33212492400531396,Bajo,0,1,0
 Fiesta,2014,6795,Manual,35299,Petrol,113.41793211255025,65.7,1.0,27,56808.09266,0.32556987115956393,0.1987064015671793,Bajo,0,1,0
 Focus,2017,18499,Manual,13063,Petrol,145.0,41.5,2.0,17,21022.80842,0.2056491575817641,0.07353470986917655,Bajo,0,1,0
 C-MAX,2018,11799,Manual,23800,Diesel,145.0,68.9,1.5,29,38302.292,0.34142715559960357,0.1339758168021436,Bajo,0,1,0
 Fiesta,2015,8299,Manual,25935,Petrol,0.0,65.7,1.0,27,41738.2329,0.32556987115956393,0.1459942356623359,Bajo,0,1,0
 Fiesta,2018,12499,Manual,8700,Petrol,145.0,58.9,1.0,25,14001.258,0.2918731417244797,0.04897435320078359,Bajo,0,1,0
 Fiesta,2017,8699,Manual,25000,Petrol,125.0,54.3,1.2,23,40233.5,0.2690782953419227,0.1407309000022517,Bajo,0,1,0
 Fiesta,2016,7999,Manual,60730,Diesel,0.0,78.5,1.5,33,97735.2182,0.38899900891972244,0.3418635022854698,Bajo,0,1,0
 Fiesta,2017,8991,Manual,18561,Petrol,145.0,54.3,1.2,23,29870.95974,0.2690782953419227,0.10448424939767173,Bajo,0,1,0
 Focus,2019,18990,Manual,8400,Petrol,145.0,60.1,1.0,25,13518.456,0.2978196233894945,0.047285582400756566,Bajo,0,1,0
 Fiesta,2013,7236,Manual,39090,Petrol,0.0,65.7,1.0,27,62909.1006,0.32556987115956393,0.22004683524352073,Bajo,0,1,0
 Kuga,2018,15287,Semi-Auto,33149,Diesel,145.0,58.9,1.5,25,53348.01166,0.2918731417244797,0.18660354416698563,Bajo,0,0,1
 Mondeo,2019,20000,Manual,24,Diesel,145.0,65.7,2.0,27,38.62416,0.32556987115956393,0.00013510166400216162,Bajo,0,1,0
 EcoSport,2020,20000,Manual,558,Petrol,145.0,53.3,1.0,22,898.01172,0.2641228939544103,0.0031411136880502575,Bajo,0,1,0
 Kuga,2019,21378,Manual,3259,Diesel,145.0,39.2,2.0,16,5244.83906,0.19425173439048565,0.01834568012429353,Bajo,0,1,0
 Fiesta,2018,9814,Manual,15100,Petrol,145.0,65.7,1.0,27,24301.034,0.32556987115956393,0.08500146360136002,Bajo,0,1,0
 Ka+,2018,8261,Manual,25000,Petrol,145.0,57.7,1.2,24,40233.5,0.2859266600594648,0.1407309000022517,Bajo,0,1,0
 Fiesta,2017,8788,Manual,15612,Petrol,145.0,65.7,1.0,27,25125.01608,0.32556987115956393,0.08788363243340613,Bajo,0,1,0
 Fiesta,2018,12251,Manual,8920,Petrol,145.0,58.9,1.0,25,14355.3128,0.2918731417244797,0.0502127851208034,Bajo,0,1,0
 Kuga,2017,16320,Manual,24803,Diesel,145.0,60.1,2.0,25,39916.46002,0.2978196233894945,0.13962194051023394,Bajo,0,1,0
 Fiesta,2019,13140,Manual,7,Petrol,145.0,48.7,1.1,20,11.26538,0.24132804757185333,3.940465200063047e-05,Bajo,0,1,0
 Fiesta,2018,10491,Semi-Auto,43019,Petrol,145.0,48.7,1.0,20,69232.19746,0.24132804757185333,0.2421641034878746,Bajo,0,0,1
 Kuga,2016,13870,Semi-Auto,41607,Diesel,145.0,54.3,2.0,23,66959.80938,0.2690782953419227,0.23421562225574746,Bajo,0,0,1
 Focus,2017,14960,Manual,23554,Petrol,145.0,41.5,2.0,17,37906.39436,0.2056491575817641,0.13259102474612144,Bajo,0,1,0
 Fiesta,2019,13540,Manual,6923,Petrol,145.0,58.9,1.0,25,11141.46082,0.2918731417244797,0.038971200828623535,Bajo,0,1,0
 Focus,2019,17970,Manual,10985,Diesel,145.0,74.3,1.5,31,17678.5999,0.3681863230921705,0.061837157460989396,Bajo,0,1,0
 C-MAX,2017,9330,Manual,29617,Diesel,20.0,68.9,1.5,29,47663.82278,0.34142715559960357,0.16672108261466753,Bajo,0,1,0
 Fiesta,2016,6000,Manual,47613,Petrol,0.0,65.7,1.0,27,76625.50542,0.32556987115956393,0.26802481367228836,Bajo,0,1,0
 Ka+,2019,8995,Manual,5122,Petrol,145.0,43.5,1.2,18,8243.03948,0.2155599603567889,0.028832946792461324,Bajo,0,1,0
 Ka+,2019,8495,Manual,32,Petrol,145.0,48.7,1.2,20,51.49888,0.24132804757185333,0.00018013555200288215,Bajo,0,1,0
 Fiesta,2016,6395,Manual,31562,Petrol,125.0,54.3,1.2,23,50793.98908,0.2690782953419227,0.1776699466348427,Bajo,0,1,0
 Focus,2019,14495,Manual,8131,Petrol,145.0,58.9,1.0,25,13085.54354,0.2918731417244797,0.04577131791673234,Bajo,0,1,0
 Tourneo Custom,2018,19995,Automatic,24568,Diesel,145.0,31.7,2.0,13,39538.26512,0.1570862239841427,0.13829907005021277,Bajo,1,0,0
 S-MAX,2017,18495,Automatic,39605,Diesel,145.0,54.3,2.0,23,63737.9107,0.2690782953419227,0.22294589178356713,Bajo,1,0,0
 Focus,2019,17995,Manual,11496,Diesel,145.0,57.6,2.0,24,18500.97264,0.28543111992071357,0.06471369705703542,Bajo,0,1,0
 Fiesta,2013,5495,Manual,51271,Petrol,30.0,54.3,1.2,23,82512.47114,0.2690782953419227,0.28861655896061783,Bajo,0,1,0
 Kuga,2018,16995,Automatic,7189,Diesel,145.0,58.9,1.5,25,11569.54526,0.2918731417244797,0.0404685776046475,Bajo,1,0,0
 Kuga,2018,16495,Manual,29428,Diesel,145.0,54.3,1.5,23,47359.65752,0.2690782953419227,0.1656571570106505,Bajo,0,1,0
 Kuga,2018,17998,Manual,12162,Petrol,145.0,39.2,1.5,16,19572.79308,0.19425173439048565,0.0684627682330954,Bajo,0,1,0
 B-MAX,2014,7498,Semi-Auto,33023,Petrol,160.0,44.1,1.6,18,53145.23482,0.21853320118929634,0.1858942604309743,Bajo,0,0,1
 Focus,2019,17498,Manual,2714,Petrol,150.0,49.6,1.0,21,4367.74876,0.24578790882061446,0.015277746504244445,Bajo,0,1,0
 S-MAX,2017,17498,Manual,17051,Diesel,150.0,56.5,2.0,24,27440.85634,0.27998017839444994,0.09598410303753574,Bajo,0,1,0
 Fiesta,2013,5998,Manual,44304,Diesel,0.0,76.4,1.5,32,71300.19936,0.37859266600594654,0.24939767174799035,Bajo,0,1,0
 Kuga,2019,17698,Manual,4844,Petrol,145.0,34.4,1.5,14,7795.64296,0.17046580773042613,0.027268019184436287,Bajo,0,1,0
 Kuga,2016,11000,Manual,31810,Diesel,125.0,60.1,2.0,25,51193.1054,0.2978196233894945,0.17906599716286506,Bajo,0,1,0
 EcoSport,2017,8700,Manual,43081,Petrol,145.0,44.8,1.5,19,69331.97654,0.222001982160555,0.24251311611988022,Bajo,0,1,0
 Kuga,2017,15300,Manual,47159,Diesel,145.0,54.3,2.0,23,75894.86506,0.2690782953419227,0.2654691405282475,Bajo,0,1,0
 Fiesta,2013,7490,Manual,25000,Petrol,113.41793211255025,65.7,1.0,27,40233.5,0.32556987115956393,0.1407309000022517,Bajo,0,1,0
 Focus,2017,10760,Manual,29891,Petrol,145.0,60.1,1.0,25,48104.78194,0.2978196233894945,0.16826349327869222,Bajo,0,1,0
 Kuga,2019,18760,Manual,10237,Petrol,145.0,39.2,1.5,16,16474.81358,0.19425173439048565,0.057626488932922014,Bajo,0,1,0
 Fiesta,2014,6360,Manual,48653,Petrol,0.0,65.7,1.0,27,78299.21902,0.32556987115956393,0.27387921911238206,Bajo,0,1,0
 Fiesta,2014,6270,Manual,60888,Petrol,113.41793211255025,65.7,1.0,27,97989.49392,0.32556987115956393,0.342752921573484,Bajo,0,1,0
 Kuga,2017,17920,Automatic,15815,Petrol,235.0,38.2,1.5,16,25451.7121,0.18929633300297327,0.08902636734142443,Bajo,1,0,0
 Fiesta,2013,4790,Manual,74128,Petrol,0.0,65.7,1.0,27,119297.15552,0.32556987115956393,0.41728400621467654,Bajo,0,1,0
 Focus,2015,7830,Manual,50124,Diesel,113.41793211255025,74.3,1.5,31,80666.55816,0.3681863230921705,0.2821598252685145,Bajo,0,1,0
 Fiesta,2015,6990,Manual,29851,Diesel,0.0,76.4,1.5,32,48040.40834,0.37859266600594654,0.1680383238386886,Bajo,0,1,0
